wconfid,pctid,x,y,z
2.0,50.0,0.992,0.219,-0.16
1.0,70.0,0.941,0.551,-0.797
2.0,80.0,0.953,-0.289,-0.617
2.0,40.0,0.938,-0.059,-0.098
3.0,50.0,1.012,0.07,-0.117
3.0,100.0,0.789,-0.004,0.363
1.0,40.0,1.02,0.066,-0.063
1.0,50.0,0.852,0.063,-0.281
3.0,90.0,0.727,-0.027,-0.02
2.0,75.0,1.43,-0.246,-0.129
2.0,20.0,1.0,-0.047,-0.121
2.0,85.0,0.258,0.035,-0.891
1.0,65.0,1.098,0.133,-0.207
3.0,65.0,0.977,0.078,-0.121
2.0,100.0,-1.578,-1.41,-0.297
3.0,95.0,1.133,0.152,-0.141
1.0,80.0,1.312,1.277,-0.754
1.0,75.0,1.105,-0.105,-0.301
3.0,50.0,1.066,0.102,-0.102
1.0,100.0,2.211,1.977,0.391
2.0,95.0,0.238,0.086,-0.254
1.0,40.0,1.051,-0.039,-0.082
1.0,20.0,0.977,-0.082,-0.137
2.0,60.0,0.879,-0.059,-0.398
1.0,85.0,3.543,1.867,-1.762
2.0,45.0,0.984,-0.059,-0.184
1.0,90.0,-0.246,-0.539,-2.02
2.0,90.0,0.332,0.004,0.527
1.0,85.0,2.039,1.348,-0.234
3.0,55.0,0.953,-0.098,-0.137
2.0,85.0,1.359,-0.094,-0.777
3.0,20.0,1.0,-0.086,-0.148
2.0,80.0,-1.57,-1.035,1.445
1.0,70.0,0.867,-0.25,0.094
3.0,90.0,0.863,0.012,0.023
1.0,85.0,-1.211,-0.246,0.609
3.0,70.0,0.977,0.109,-0.137
1.0,25.0,1.0,-0.016,-0.145
1.0,30.0,0.996,0.121,-0.121
1.0,20.0,0.977,-0.004,-0.145
1.0,25.0,0.973,0.129,-0.121
2.0,35.0,1.016,0.063,-0.105
1.0,65.0,0.988,0.191,-0.199
2.0,40.0,0.965,-0.09,-0.086
2.0,35.0,1.023,0.051,-0.121
3.0,50.0,1.0,-0.066,-0.094
2.0,25.0,0.992,0.082,-0.109
1.0,80.0,0.27,-3.301,-0.082
2.0,50.0,1.051,0.074,-0.168
2.0,95.0,1.031,0.262,1.406
3.0,75.0,1.012,-0.094,-0.137
1.0,85.0,0.996,0.187,-0.84
2.0,55.0,1.113,-0.289,0.031
1.0,70.0,0.918,-1.234,0.004
2.0,35.0,0.988,0.004,-0.113
3.0,40.0,0.984,0.105,-0.125
3.0,35.0,0.988,-0.008,-0.125
1.0,40.0,1.055,-0.039,-0.199
3.0,75.0,1.07,-0.051,-0.172
1.0,65.0,1.066,0.098,-0.164
3.0,75.0,1.098,-0.074,-0.105
3.0,25.0,0.996,-0.063,-0.113
1.0,90.0,1.496,0.996,1.527
2.0,20.0,1.035,-0.039,-0.141
1.0,95.0,5.789,0.0,-2.551
2.0,20.0,1.004,-0.043,-0.137
1.0,60.0,1.215,-0.324,0.023
3.0,55.0,0.969,0.07,-0.082
1.0,100.0,0.52,0.23,0.539
1.0,95.0,0.289,-1.539,-1.129
2.0,30.0,1.004,-0.039,-0.117
1.0,50.0,0.957,-0.312,0.063
2.0,20.0,1.008,0.055,-0.121
1.0,100.0,2.152,2.207,0.848
2.0,45.0,1.031,0.129,-0.063
3.0,60.0,1.105,-0.008,-0.109
3.0,95.0,0.902,-0.207,-0.133
3.0,35.0,0.996,-0.023,-0.125
3.0,90.0,0.777,-0.098,0.086
1.0,40.0,1.055,0.039,-0.145
2.0,85.0,0.766,0.168,0.598
3.0,85.0,0.91,0.023,-0.172
1.0,20.0,1.004,0.113,-0.129
2.0,60.0,1.051,-0.262,0.152
3.0,55.0,0.957,-0.094,-0.117
1.0,85.0,2.027,-0.457,-0.414
3.0,70.0,0.934,0.012,-0.145
2.0,45.0,0.938,0.043,-0.18
1.0,70.0,0.676,-0.254,0.059
2.0,35.0,1.031,0.055,-0.09
1.0,20.0,0.969,-0.094,-0.152
1.0,60.0,1.008,0.246,0.32
2.0,90.0,1.012,0.695,-0.168
1.0,25.0,1.039,0.074,-0.121
2.0,55.0,0.949,0.309,-0.148
2.0,40.0,1.023,-0.074,-0.137
2.0,55.0,1.129,-0.137,-0.078
3.0,60.0,1.047,0.133,-0.105
1.0,65.0,1.039,-0.012,-0.133
2.0,70.0,1.031,-0.105,-0.555
2.0,50.0,0.875,-0.164,0.105
3.0,70.0,0.984,-0.031,-0.129
3.0,80.0,0.871,0.0,0.074
1.0,60.0,1.051,-0.172,-0.43
2.0,55.0,0.957,-0.109,-0.27
3.0,50.0,0.984,0.031,-0.137
1.0,45.0,0.914,0.137,-0.254
1.0,60.0,1.027,0.395,0.203
2.0,20.0,1.027,0.051,-0.102
3.0,30.0,1.004,-0.031,-0.109
1.0,35.0,1.012,-0.059,-0.078
3.0,50.0,1.02,0.063,-0.133
2.0,20.0,0.965,-0.016,-0.133
2.0,90.0,2.059,0.297,0.512
3.0,100.0,1.07,-0.074,-0.254
2.0,60.0,1.004,-0.414,-0.133
2.0,25.0,0.996,0.039,-0.117
2.0,85.0,1.539,-0.293,-0.445
2.0,80.0,1.242,0.785,0.195
2.0,95.0,0.484,0.801,-0.285
2.0,55.0,0.75,0.316,-0.375
1.0,30.0,1.0,-0.008,-0.109
1.0,65.0,0.887,-0.312,-0.168
3.0,20.0,1.0,0.102,-0.109
3.0,70.0,0.992,-0.004,-0.199
1.0,85.0,0.344,-0.641,0.992
2.0,95.0,-7.637,-0.375,2.719
3.0,35.0,0.953,-0.035,-0.145
3.0,70.0,1.0,0.047,-0.113
1.0,35.0,0.969,-0.027,-0.102
1.0,20.0,0.973,-0.086,-0.148
3.0,60.0,1.004,-0.02,-0.133
2.0,85.0,0.637,0.582,-0.641
3.0,95.0,1.137,-0.16,-0.25
3.0,85.0,1.16,-0.078,-0.289
2.0,55.0,0.977,0.145,0.004
2.0,85.0,1.453,-0.449,1.055
1.0,90.0,3.82,-2.238,-2.219
3.0,90.0,0.883,0.102,-0.23
3.0,75.0,0.898,0.109,-0.125
1.0,85.0,0.246,-0.992,-2.227
3.0,80.0,0.938,-0.074,-0.078
3.0,100.0,1.121,-0.086,-0.16
2.0,95.0,0.746,-0.473,0.758
2.0,50.0,0.984,-0.141,-0.227
3.0,45.0,0.992,-0.055,-0.137
2.0,45.0,0.977,0.027,-0.035
2.0,70.0,1.152,0.016,0.234
1.0,90.0,0.461,0.945,1.109
1.0,40.0,0.996,0.023,-0.145
3.0,20.0,1.031,0.113,-0.105
2.0,65.0,0.957,0.238,-0.41
1.0,30.0,1.008,-0.047,-0.125
2.0,75.0,0.824,-0.586,0.402
1.0,85.0,0.199,0.027,2.129
1.0,90.0,1.336,0.289,0.488
1.0,25.0,0.996,0.023,-0.141
3.0,20.0,1.031,0.09,-0.113
3.0,30.0,0.98,-0.082,-0.102
3.0,75.0,1.031,0.07,-0.164
1.0,75.0,1.512,0.633,-0.195
3.0,20.0,0.949,-0.16,-0.086
2.0,90.0,1.82,0.422,-0.5
1.0,70.0,1.773,0.008,-0.5
2.0,70.0,1.195,-0.551,0.199
3.0,50.0,1.07,-0.07,-0.121
3.0,40.0,0.941,0.0,-0.125
3.0,75.0,1.113,0.098,-0.16
3.0,65.0,0.941,-0.121,-0.059
1.0,70.0,0.641,0.105,0.07
2.0,30.0,0.984,0.055,-0.133
1.0,75.0,0.012,0.695,0.77
3.0,100.0,0.695,-0.027,0.133
3.0,85.0,0.918,0.078,-0.184
2.0,75.0,0.602,-0.102,-0.105
3.0,40.0,0.98,-0.043,-0.148
1.0,60.0,0.895,0.102,0.008
3.0,95.0,1.082,0.164,-0.289
1.0,100.0,1.707,-0.969,2.484
2.0,95.0,1.07,0.094,-1.266
2.0,30.0,0.988,-0.004,-0.137
2.0,35.0,0.957,0.039,-0.137
1.0,80.0,1.422,-0.43,-0.551
1.0,35.0,1.012,-0.031,-0.125
1.0,75.0,1.32,0.117,-0.246
1.0,55.0,1.129,0.105,-0.109
3.0,55.0,0.973,-0.043,-0.113
3.0,60.0,0.922,-0.012,-0.129
3.0,65.0,0.98,0.094,-0.152
1.0,95.0,3.094,0.57,-0.594
1.0,65.0,0.902,0.277,-0.547
3.0,20.0,1.004,-0.039,-0.117
1.0,25.0,0.969,-0.059,-0.121
3.0,95.0,0.887,-0.105,-0.105
3.0,30.0,0.969,0.113,-0.137
1.0,85.0,1.336,0.863,-0.27
3.0,80.0,1.016,0.121,-0.156
1.0,30.0,1.02,0.098,-0.105
2.0,100.0,1.285,-0.57,0.586
3.0,20.0,0.992,-0.074,-0.113
3.0,40.0,0.945,-0.082,-0.121
1.0,75.0,0.641,0.242,-0.598
3.0,95.0,1.137,0.184,-0.074
1.0,65.0,0.969,-0.023,-0.008
3.0,90.0,0.766,-0.156,-0.016
1.0,80.0,-0.355,-1.062,-1.078
1.0,75.0,0.316,0.527,-0.469
1.0,45.0,0.988,-0.328,-0.094
1.0,45.0,1.059,0.129,-0.262
2.0,95.0,0.895,0.074,0.453
3.0,55.0,1.062,0.055,-0.129
3.0,45.0,1.008,0.027,-0.102
2.0,35.0,1.0,-0.02,-0.09
3.0,75.0,0.914,-0.027,-0.098
2.0,80.0,-1.402,-2.59,-1.437
2.0,20.0,1.016,0.043,-0.125
1.0,90.0,-1.102,-7.715,1.547
2.0,60.0,0.953,-0.008,0.012
3.0,70.0,0.961,0.07,-0.113
3.0,25.0,0.973,-0.066,-0.16
1.0,65.0,1.324,-0.172,0.109
1.0,55.0,1.047,-0.063,-0.145
3.0,60.0,0.984,-0.004,-0.113
2.0,95.0,-1.105,-0.418,-0.805
3.0,80.0,1.117,-0.027,-0.184
1.0,85.0,-0.242,-0.785,-1.332
3.0,70.0,1.055,-0.004,-0.172
3.0,90.0,1.098,0.012,-0.293
3.0,50.0,1.012,-0.066,-0.152
2.0,40.0,0.973,0.102,-0.113
2.0,30.0,1.012,-0.012,-0.117
3.0,40.0,1.035,0.066,-0.121
3.0,100.0,1.012,0.133,-0.168
1.0,100.0,2.566,-3.75,-0.551
3.0,25.0,0.984,-0.121,-0.133
1.0,55.0,1.105,0.07,-0.117
2.0,80.0,0.949,0.234,-0.551
3.0,25.0,1.012,0.105,-0.109
1.0,95.0,-0.273,-2.984,2.648
2.0,20.0,0.984,-0.105,-0.074
2.0,75.0,1.227,-0.926,-0.711
3.0,30.0,1.0,-0.082,-0.117
3.0,25.0,1.02,-0.063,-0.129
3.0,40.0,0.992,0.004,-0.121
1.0,65.0,1.066,-0.105,0.004
3.0,55.0,1.012,0.105,-0.109
2.0,75.0,-0.254,-0.039,-0.695
1.0,85.0,0.59,-0.336,-1.512
2.0,95.0,0.488,-0.043,0.012
3.0,35.0,1.02,0.02,-0.102
3.0,45.0,0.984,-0.074,-0.133
2.0,55.0,0.875,0.215,-0.246
1.0,95.0,-0.617,0.52,1.781
3.0,20.0,1.004,0.078,-0.109
3.0,35.0,0.988,0.02,-0.133
2.0,45.0,1.051,0.074,-0.012
1.0,95.0,-3.262,-1.68,-2.199
3.0,65.0,0.848,-0.113,-0.094
1.0,75.0,0.328,0.18,0.086
3.0,65.0,1.066,0.129,-0.105
3.0,70.0,1.047,0.039,-0.129
2.0,55.0,0.859,0.285,-0.496
1.0,50.0,1.062,-0.09,-0.039
3.0,25.0,0.969,-0.109,-0.156
3.0,30.0,0.977,-0.078,-0.16
3.0,55.0,1.0,-0.082,-0.145
1.0,90.0,-0.164,0.441,-2.766
1.0,50.0,0.992,0.148,0.023
2.0,35.0,1.035,-0.027,-0.078
3.0,60.0,0.977,0.031,-0.133
1.0,95.0,1.113,4.004,-1.488
1.0,80.0,2.02,1.383,0.648
2.0,60.0,0.973,-0.367,0.074
3.0,30.0,1.027,-0.012,-0.121
2.0,75.0,0.922,0.32,0.203
3.0,75.0,0.926,0.098,-0.074
1.0,30.0,0.996,0.02,-0.117
1.0,30.0,1.012,-0.063,-0.145
1.0,35.0,0.98,-0.07,-0.074
3.0,90.0,1.16,-0.117,0.066
2.0,50.0,1.051,0.004,-0.289
3.0,75.0,0.98,0.059,-0.129
2.0,20.0,1.047,0.035,-0.07
3.0,65.0,0.957,-0.027,-0.137
2.0,50.0,0.934,0.07,-0.195
2.0,35.0,0.969,-0.059,-0.137
2.0,70.0,0.676,0.242,-0.578
1.0,95.0,1.168,0.414,-0.066
2.0,80.0,-0.102,-0.02,0.723
2.0,35.0,0.961,-0.016,-0.148
3.0,40.0,0.98,-0.059,-0.141
3.0,100.0,1.066,0.23,-0.258
1.0,30.0,0.988,0.0,-0.113
3.0,100.0,0.883,0.168,-0.305
2.0,80.0,0.527,-0.035,-0.348
2.0,25.0,0.98,0.027,-0.133
1.0,50.0,0.996,0.039,-0.141
3.0,75.0,0.957,0.027,-0.039
1.0,20.0,0.988,-0.109,-0.137
2.0,25.0,1.0,-0.086,-0.109
3.0,30.0,0.977,-0.063,-0.145
3.0,20.0,0.973,-0.035,-0.145
1.0,100.0,-2.566,-2.254,0.871
2.0,35.0,1.004,0.0,-0.125
1.0,70.0,0.699,0.563,-0.586
1.0,90.0,2.375,0.672,0.102
1.0,80.0,0.586,0.598,-0.32
3.0,95.0,1.035,-0.035,-0.047
2.0,100.0,0.984,-0.66,0.629
3.0,50.0,0.984,-0.035,-0.086
1.0,60.0,1.102,0.281,-0.395
2.0,30.0,1.02,0.055,-0.117
2.0,85.0,0.648,-0.758,0.02
2.0,80.0,1.0,-0.293,0.398
1.0,55.0,1.137,0.063,-0.195
1.0,50.0,1.102,-0.004,-0.098
1.0,30.0,1.031,0.055,-0.105
3.0,75.0,1.055,-0.047,-0.184
1.0,60.0,0.953,0.258,-0.469
3.0,90.0,0.902,0.133,-0.129
1.0,90.0,1.543,-1.395,-1.25
2.0,55.0,1.016,0.156,-0.191
1.0,25.0,1.031,-0.063,-0.121
1.0,20.0,0.992,0.059,-0.137
2.0,45.0,1.035,-0.133,-0.156
3.0,55.0,0.957,0.012,-0.113
1.0,75.0,0.594,-3.77,0.008
1.0,60.0,1.133,0.422,-0.25
3.0,35.0,1.004,-0.027,-0.117
2.0,85.0,-0.078,-1.199,0.813
3.0,20.0,1.027,0.078,-0.109
3.0,75.0,0.922,0.051,-0.164
2.0,45.0,0.973,0.148,-0.137
3.0,100.0,0.961,0.207,-0.031
2.0,100.0,1.684,-0.891,1.102
1.0,30.0,1.008,0.031,-0.121
2.0,60.0,1.031,0.227,0.031
3.0,70.0,0.965,-0.051,-0.133
2.0,20.0,1.027,0.043,-0.117
1.0,90.0,-1.102,-0.008,-0.723
2.0,95.0,1.902,1.152,-0.375
3.0,50.0,0.953,0.02,-0.141
1.0,55.0,0.977,0.113,0.016
1.0,40.0,1.027,0.004,-0.215
2.0,95.0,1.211,0.582,-0.426
2.0,90.0,0.52,0.301,0.691
2.0,55.0,1.012,0.164,0.023
3.0,85.0,1.098,-0.043,-0.281
2.0,35.0,1.027,0.055,-0.109
2.0,100.0,0.98,0.727,0.148
1.0,85.0,1.176,-0.512,0.066
2.0,45.0,0.949,0.09,-0.141
1.0,55.0,0.891,0.016,-0.117
2.0,55.0,0.965,0.043,0.031
1.0,45.0,1.023,0.0,-0.047
3.0,95.0,1.047,-0.066,-0.219
3.0,70.0,0.996,0.098,-0.137
3.0,30.0,1.008,-0.047,-0.121
1.0,100.0,1.121,4.27,-1.367
2.0,40.0,0.988,-0.023,-0.086
2.0,35.0,0.98,0.031,-0.121
3.0,45.0,0.992,0.012,-0.129
3.0,20.0,1.008,0.047,-0.129
3.0,30.0,1.023,0.012,-0.125
3.0,100.0,1.258,-0.109,0.125
3.0,70.0,1.02,0.02,-0.113
3.0,90.0,0.984,0.031,0.027
1.0,25.0,1.039,-0.023,-0.125
1.0,45.0,0.996,0.027,-0.082
3.0,30.0,0.973,-0.047,-0.148
3.0,40.0,1.031,-0.031,-0.137
1.0,45.0,1.0,0.098,-0.059
1.0,100.0,0.195,0.398,0.766
3.0,25.0,1.02,0.094,-0.113
1.0,50.0,1.051,0.199,-0.402
3.0,95.0,1.215,-0.164,-0.145
2.0,35.0,0.988,0.012,-0.148
3.0,90.0,0.801,-0.02,-0.254
3.0,25.0,1.016,0.07,-0.105
1.0,55.0,1.172,-0.027,-0.129
3.0,20.0,0.973,-0.047,-0.113
2.0,50.0,1.004,0.094,-0.121
1.0,80.0,0.645,-0.734,-0.484
1.0,90.0,6.898,0.352,-1.012
2.0,60.0,1.098,-0.559,-0.086
1.0,90.0,0.867,1.023,0.375
3.0,60.0,1.027,0.078,-0.133
1.0,100.0,1.504,2.051,-0.246
3.0,80.0,0.973,-0.113,-0.152
3.0,95.0,0.824,0.059,0.023
1.0,45.0,1.004,0.012,-0.098
3.0,85.0,0.969,0.059,-0.078
2.0,85.0,0.137,-0.156,0.324
2.0,30.0,0.996,0.012,-0.133
1.0,75.0,0.633,0.832,-0.605
3.0,100.0,0.988,0.16,-0.152
2.0,75.0,-0.633,-0.316,-0.199
2.0,20.0,1.0,-0.129,-0.113
2.0,95.0,-1.074,0.063,0.336
3.0,90.0,1.25,-0.164,0.047
1.0,45.0,1.016,0.031,-0.078
2.0,50.0,0.973,0.141,-0.129
1.0,50.0,1.094,-0.625,-0.051
2.0,95.0,1.254,-1.305,-1.645
1.0,25.0,1.051,0.086,-0.109
2.0,80.0,2.066,-0.48,-1.672
1.0,25.0,0.992,0.047,-0.133
3.0,50.0,0.883,0.031,-0.086
2.0,35.0,1.016,-0.004,-0.086
1.0,90.0,4.277,-3.672,-2.992
1.0,90.0,-0.137,-2.117,-1.379
1.0,65.0,1.102,-0.016,-0.199
2.0,30.0,0.965,0.086,-0.109
2.0,70.0,1.371,-0.285,-0.383
1.0,60.0,0.543,-0.102,0.184
3.0,50.0,1.031,0.105,-0.094
1.0,50.0,0.996,0.109,-0.172
2.0,30.0,0.98,-0.02,-0.113
2.0,50.0,1.129,-0.129,-0.09
3.0,20.0,1.008,-0.141,-0.148
2.0,90.0,0.91,0.855,-0.035
3.0,30.0,0.969,-0.059,-0.152
2.0,75.0,0.398,1.328,0.465
3.0,45.0,1.008,0.023,-0.121
1.0,80.0,-2.297,0.066,0.195
3.0,40.0,1.043,0.027,-0.094
3.0,50.0,1.031,0.102,-0.098
3.0,45.0,1.008,0.055,-0.105
1.0,40.0,1.062,0.043,-0.055
2.0,35.0,1.043,-0.012,-0.082
2.0,45.0,0.98,-0.074,-0.219
1.0,90.0,0.703,-7.246,-1.48
2.0,35.0,1.047,-0.063,-0.109
3.0,45.0,1.016,-0.027,-0.102
1.0,80.0,3.184,0.93,-0.301
2.0,95.0,0.816,0.965,0.273
1.0,85.0,0.379,1.828,-1.547
1.0,95.0,2.703,2.949,-1.59
3.0,50.0,1.0,0.051,-0.137
2.0,55.0,1.09,0.27,-0.516
2.0,80.0,1.641,-0.187,0.09
1.0,50.0,0.941,0.031,0.016
3.0,50.0,1.047,-0.035,-0.113
1.0,55.0,0.813,0.16,0.031
1.0,60.0,0.93,0.027,-0.055
2.0,35.0,1.051,0.031,-0.129
2.0,40.0,1.0,0.043,-0.129
1.0,95.0,3.078,-2.316,-1.707
3.0,75.0,1.156,0.008,-0.145
2.0,100.0,1.312,1.445,-2.703
1.0,95.0,-0.414,0.305,0.602
3.0,55.0,0.965,-0.109,-0.121
3.0,45.0,0.965,0.023,-0.102
1.0,45.0,0.938,0.086,-0.004
3.0,55.0,0.871,-0.066,-0.082
3.0,60.0,1.023,0.137,-0.086
1.0,65.0,1.203,0.328,-0.133
1.0,50.0,1.094,0.098,-0.031
2.0,100.0,0.594,0.16,-1.145
3.0,70.0,0.953,-0.035,-0.137
3.0,40.0,1.0,0.008,-0.129
3.0,80.0,1.121,-0.016,-0.238
2.0,60.0,0.965,0.137,-0.316
3.0,50.0,1.023,-0.055,-0.082
2.0,60.0,1.078,0.094,0.063
3.0,50.0,0.949,0.094,-0.109
1.0,100.0,3.621,0.113,2.223
2.0,40.0,0.984,0.051,-0.09
3.0,75.0,1.0,-0.086,-0.129
1.0,70.0,1.875,-0.34,0.207
3.0,55.0,0.98,-0.008,-0.145
3.0,20.0,0.984,-0.137,-0.125
1.0,65.0,0.785,-0.168,-0.223
1.0,85.0,1.707,-1.102,-0.203
3.0,25.0,1.02,0.109,-0.113
1.0,90.0,-0.969,0.984,-0.004
2.0,30.0,1.0,0.051,-0.109
3.0,35.0,0.977,-0.039,-0.117
3.0,30.0,1.0,-0.031,-0.141
2.0,85.0,0.328,0.605,0.883
3.0,30.0,0.98,-0.031,-0.152
1.0,90.0,-0.77,-2.289,-0.344
1.0,35.0,1.031,0.031,-0.133
1.0,35.0,1.027,-0.027,-0.137
3.0,70.0,0.98,0.113,-0.105
3.0,50.0,1.027,-0.047,-0.156
3.0,25.0,0.977,0.012,-0.133
2.0,85.0,1.066,0.77,0.672
3.0,45.0,1.055,-0.043,-0.148
2.0,55.0,1.094,0.078,-0.453
1.0,35.0,0.938,-0.098,-0.133
2.0,85.0,-1.437,-1.129,-0.863
2.0,85.0,0.066,-0.27,2.105
3.0,25.0,0.988,-0.113,-0.113
3.0,50.0,0.969,0.023,-0.148
2.0,35.0,0.988,0.012,-0.156
1.0,65.0,1.039,-0.344,-0.285
3.0,30.0,1.055,0.035,-0.117
