wconfid,pctid,x,y,z
1.0,40.0,1.0,0.012,-0.039
3.0,95.0,0.953,0.012,-0.484
2.0,95.0,0.191,0.27,0.93
1.0,60.0,1.074,0.234,-0.527
1.0,20.0,0.949,-0.066,-0.113
1.0,80.0,0.777,-4.035,-0.066
2.0,65.0,1.141,-0.187,0.172
3.0,45.0,0.961,0.023,-0.117
2.0,55.0,0.957,0.121,-0.172
2.0,95.0,1.27,-0.52,-0.453
2.0,40.0,0.984,0.027,-0.141
3.0,90.0,1.23,-0.023,-0.305
3.0,50.0,1.02,-0.094,-0.129
2.0,20.0,0.977,0.008,-0.141
1.0,70.0,1.746,0.207,0.336
3.0,55.0,1.027,-0.098,-0.133
3.0,85.0,0.844,0.055,0.09
3.0,70.0,0.98,-0.102,-0.121
1.0,95.0,3.91,2.496,-1.891
3.0,60.0,1.062,-0.066,-0.109
1.0,65.0,1.133,-0.051,-0.426
3.0,55.0,1.004,-0.004,-0.145
3.0,70.0,0.945,0.0,-0.133
2.0,20.0,1.031,0.086,-0.105
1.0,25.0,1.008,0.039,-0.113
2.0,30.0,0.996,0.016,-0.133
1.0,80.0,1.754,1.109,-0.199
2.0,95.0,1.215,1.074,0.406
2.0,35.0,0.973,0.113,-0.121
2.0,80.0,0.684,2.227,0.777
2.0,25.0,0.977,-0.063,-0.105
2.0,30.0,1.012,-0.008,-0.137
2.0,75.0,1.324,0.438,0.324
2.0,45.0,1.0,0.023,-0.09
3.0,60.0,1.02,0.129,-0.094
3.0,70.0,1.027,0.117,-0.09
1.0,20.0,1.0,-0.016,-0.125
3.0,95.0,1.129,-0.117,-0.027
2.0,95.0,0.352,-0.031,0.754
3.0,50.0,0.953,0.008,-0.121
1.0,75.0,1.652,0.164,-0.152
2.0,20.0,1.039,-0.016,-0.125
2.0,25.0,1.012,0.09,-0.102
1.0,30.0,0.984,-0.008,-0.117
1.0,65.0,0.891,0.203,-0.438
2.0,90.0,1.785,0.34,-0.531
2.0,40.0,1.016,-0.063,-0.125
2.0,85.0,-0.008,0.848,-0.77
2.0,45.0,0.938,-0.098,-0.07
2.0,95.0,-1.211,0.652,2.09
1.0,40.0,1.008,0.113,-0.164
2.0,100.0,-1.09,-0.102,-1.602
1.0,40.0,0.961,-0.039,-0.078
2.0,45.0,0.949,0.16,-0.133
1.0,75.0,1.102,-0.129,-0.195
1.0,65.0,0.973,0.672,0.375
3.0,65.0,1.035,0.082,-0.141
1.0,30.0,0.988,0.059,-0.129
2.0,95.0,-1.109,0.488,0.629
3.0,45.0,0.98,0.043,-0.09
2.0,55.0,0.961,0.449,0.191
2.0,70.0,0.66,-0.074,-0.355
1.0,80.0,-0.25,0.629,-0.027
2.0,80.0,0.484,-0.309,-0.277
1.0,60.0,1.051,-0.004,-0.484
1.0,50.0,1.039,0.125,-0.18
3.0,20.0,1.004,-0.051,-0.105
1.0,75.0,1.043,0.512,0.566
2.0,30.0,0.988,0.016,-0.156
2.0,70.0,0.875,-0.156,0.191
3.0,45.0,1.031,-0.109,-0.117
2.0,55.0,0.93,-0.066,0.0
2.0,60.0,0.852,-0.32,-0.047
2.0,80.0,0.293,0.73,0.637
1.0,65.0,1.344,-0.137,-0.027
1.0,75.0,2.723,-1.445,0.531
1.0,75.0,1.453,-0.18,-0.258
2.0,100.0,0.008,1.473,0.492
3.0,85.0,0.949,-0.016,0.113
3.0,30.0,1.0,-0.047,-0.117
3.0,100.0,0.992,-0.047,-0.512
1.0,45.0,0.945,0.004,-0.258
1.0,50.0,0.992,-0.008,-0.047
1.0,90.0,0.391,-0.086,-0.277
1.0,90.0,-0.715,1.344,1.336
1.0,45.0,0.941,-0.324,-0.02
2.0,90.0,0.699,0.695,-0.359
1.0,75.0,0.316,0.383,-0.398
2.0,80.0,1.02,0.312,-0.551
1.0,55.0,1.035,0.074,-0.051
2.0,45.0,1.047,0.004,-0.098
2.0,75.0,1.898,-1.621,-0.789
2.0,35.0,1.016,0.004,-0.121
2.0,40.0,1.016,0.043,-0.172
3.0,50.0,1.055,-0.074,-0.168
2.0,60.0,1.059,0.238,-0.187
3.0,25.0,0.973,0.031,-0.129
1.0,85.0,-0.473,-1.246,2.195
3.0,100.0,1.023,-0.031,-0.254
2.0,70.0,1.297,-0.25,0.227
3.0,45.0,0.969,0.066,-0.137
1.0,50.0,0.992,-0.152,-0.035
2.0,50.0,0.91,0.059,-0.242
2.0,100.0,0.609,0.316,-1.254
3.0,35.0,1.059,0.098,-0.105
3.0,100.0,1.117,-0.195,0.07
2.0,65.0,0.75,0.168,-0.508
3.0,50.0,0.965,-0.082,-0.09
1.0,70.0,1.086,0.684,0.047
2.0,100.0,1.852,-0.539,0.223
2.0,100.0,-5.547,-2.758,4.141
2.0,100.0,0.727,0.262,0.586
2.0,100.0,-1.309,-2.371,-2.367
1.0,35.0,1.016,0.016,-0.133
2.0,45.0,0.996,-0.035,-0.035
2.0,95.0,0.859,2.055,0.477
3.0,100.0,1.023,0.125,-0.32
1.0,55.0,0.906,0.223,-0.383
1.0,20.0,0.996,0.074,-0.094
1.0,25.0,0.965,0.031,-0.121
2.0,75.0,0.777,-0.25,0.383
1.0,20.0,0.965,-0.156,-0.113
2.0,100.0,0.906,2.609,-2.055
3.0,65.0,1.016,0.016,-0.117
1.0,55.0,1.023,0.285,0.301
1.0,75.0,0.586,-0.156,-0.621
2.0,60.0,0.859,-0.555,-0.121
1.0,25.0,1.023,0.008,-0.117
2.0,40.0,0.996,-0.109,-0.117
1.0,60.0,0.977,0.199,-0.453
2.0,90.0,1.672,0.383,0.977
1.0,60.0,1.016,-0.078,-0.488
1.0,20.0,1.008,0.121,-0.129
1.0,35.0,0.984,-0.066,-0.102
1.0,55.0,0.867,-0.125,-0.18
3.0,50.0,1.07,0.004,-0.148
1.0,80.0,2.73,-0.406,0.949
1.0,50.0,0.957,0.023,-0.047
3.0,70.0,1.02,-0.137,-0.148
3.0,50.0,1.02,0.039,-0.121
1.0,85.0,-0.516,-1.961,-0.508
2.0,25.0,0.965,0.098,-0.121
3.0,25.0,1.0,0.117,-0.105
2.0,25.0,0.965,-0.059,-0.125
2.0,55.0,0.918,-0.098,0.148
3.0,95.0,0.855,0.168,-0.297
1.0,65.0,0.895,0.078,-0.543
1.0,90.0,5.918,3.895,0.187
1.0,55.0,1.066,-0.117,-0.125
3.0,55.0,0.941,-0.07,-0.133
3.0,55.0,0.941,-0.012,-0.125
1.0,65.0,1.07,0.461,0.285
1.0,95.0,0.941,-2.617,0.113
2.0,65.0,0.809,-0.156,0.105
2.0,100.0,1.164,-0.809,0.988
3.0,35.0,1.012,-0.082,-0.121
3.0,75.0,1.012,0.074,-0.145
1.0,70.0,0.379,-0.148,0.684
1.0,55.0,0.957,0.043,-0.047
3.0,85.0,0.898,0.141,-0.082
3.0,70.0,0.895,-0.02,-0.066
3.0,20.0,0.949,-0.145,-0.148
2.0,60.0,0.914,-0.113,-0.34
2.0,100.0,0.84,-0.16,-1.105
1.0,55.0,1.195,0.18,-0.539
3.0,60.0,0.965,-0.07,-0.109
2.0,95.0,0.855,0.438,0.531
2.0,85.0,0.695,1.023,0.074
1.0,60.0,1.082,0.156,-0.438
2.0,95.0,1.598,-0.832,0.66
2.0,40.0,0.996,0.039,-0.145
2.0,90.0,1.52,4.223,2.344
3.0,20.0,0.977,-0.063,-0.133
3.0,35.0,1.023,0.082,-0.121
1.0,55.0,0.836,0.297,-0.082
2.0,30.0,0.98,0.027,-0.113
1.0,75.0,4.309,-0.031,-0.121
2.0,60.0,0.852,-0.227,-0.133
2.0,20.0,1.0,-0.031,-0.141
3.0,20.0,0.98,-0.016,-0.113
1.0,80.0,0.164,-0.387,-0.738
1.0,55.0,1.07,-0.102,-0.348
3.0,85.0,0.953,-0.047,-0.211
1.0,45.0,0.973,0.145,-0.004
1.0,65.0,1.293,-0.102,0.129
1.0,90.0,1.414,-2.633,0.129
1.0,25.0,1.0,0.078,-0.133
3.0,95.0,1.086,0.125,-0.355
1.0,25.0,1.027,-0.035,-0.129
3.0,60.0,0.965,-0.059,-0.074
1.0,20.0,1.027,0.047,-0.125
3.0,95.0,0.781,-0.082,0.074
2.0,50.0,0.832,0.098,-0.324
2.0,100.0,2.062,-1.934,1.469
2.0,70.0,0.121,-0.891,0.145
3.0,90.0,1.242,-0.148,-0.156
3.0,40.0,0.988,-0.098,-0.09
1.0,50.0,0.949,0.059,-0.055
2.0,25.0,0.977,-0.023,-0.109
3.0,95.0,1.145,0.184,0.035
3.0,30.0,0.977,-0.035,-0.141
1.0,60.0,1.09,-0.063,-0.184
2.0,45.0,0.969,-0.098,0.0
2.0,75.0,1.422,0.867,-0.484
3.0,80.0,0.996,0.082,-0.148
3.0,25.0,1.0,0.125,-0.098
2.0,75.0,0.984,-0.027,-0.703
3.0,45.0,0.938,0.02,-0.094
1.0,50.0,1.016,0.121,-0.004
1.0,20.0,1.027,-0.066,-0.137
3.0,45.0,0.957,-0.082,-0.086
1.0,25.0,1.012,-0.063,-0.152
3.0,65.0,0.988,-0.078,-0.141
3.0,35.0,0.969,0.008,-0.148
2.0,60.0,0.645,0.258,-0.449
3.0,70.0,1.086,-0.09,-0.199
2.0,90.0,0.625,-2.133,1.547
1.0,70.0,1.117,0.219,0.598
1.0,50.0,0.98,0.105,-0.133
2.0,90.0,1.539,1.23,-0.281
1.0,40.0,0.941,-0.027,-0.027
2.0,95.0,0.781,0.547,0.219
2.0,70.0,1.203,-0.156,0.398
3.0,95.0,1.258,-0.207,-0.18
2.0,95.0,1.699,1.41,0.516
2.0,25.0,0.996,0.012,-0.133
1.0,80.0,0.707,1.285,-0.914
3.0,45.0,0.961,0.086,-0.137
2.0,20.0,1.012,0.035,-0.121
1.0,75.0,1.957,-2.488,-0.48
1.0,95.0,-0.75,0.574,0.195
1.0,55.0,1.0,0.195,-0.398
2.0,30.0,0.961,0.047,-0.105
2.0,35.0,0.953,0.09,-0.094
2.0,95.0,1.637,0.801,-0.516
3.0,65.0,1.07,0.113,-0.129
1.0,70.0,1.34,0.109,-0.168
3.0,35.0,1.004,-0.004,-0.121
3.0,100.0,0.938,0.156,-0.301
2.0,80.0,0.617,0.004,0.598
3.0,55.0,0.965,0.047,-0.129
2.0,60.0,0.938,0.18,0.07
1.0,90.0,-0.996,0.07,1.48
1.0,95.0,3.047,-0.547,0.57
3.0,75.0,0.918,0.027,-0.113
3.0,90.0,0.977,0.109,-0.293
2.0,95.0,2.437,-0.852,-1.508
1.0,90.0,1.918,1.215,-0.637
2.0,95.0,0.477,0.316,0.754
3.0,70.0,0.949,-0.086,-0.121
3.0,45.0,1.027,-0.031,-0.121
1.0,40.0,1.02,0.066,-0.023
1.0,90.0,-4.012,2.129,0.211
3.0,70.0,0.977,-0.086,-0.125
1.0,45.0,1.074,-0.055,-0.121
3.0,85.0,0.801,0.008,0.098
2.0,60.0,0.938,-0.559,-0.098
3.0,25.0,1.02,-0.016,-0.125
2.0,35.0,0.98,0.082,-0.145
3.0,85.0,1.023,0.117,0.152
1.0,60.0,0.828,0.137,-0.09
1.0,50.0,1.02,-0.582,-0.148
3.0,35.0,0.957,0.109,-0.113
2.0,90.0,-0.113,-0.684,-1.18
1.0,40.0,0.992,0.047,-0.059
3.0,95.0,1.094,-0.117,0.063
2.0,80.0,0.543,-0.027,-0.816
2.0,90.0,2.059,-0.723,-0.047
3.0,100.0,0.707,-0.234,0.0
1.0,75.0,1.367,0.445,0.195
3.0,35.0,0.992,-0.105,-0.156
2.0,85.0,0.34,0.426,0.633
2.0,85.0,1.57,-0.078,-1.016
3.0,55.0,1.031,-0.031,-0.102
3.0,45.0,1.004,-0.055,-0.125
3.0,55.0,1.0,0.074,-0.117
3.0,100.0,0.918,-0.102,-0.371
1.0,90.0,-2.395,1.754,0.848
1.0,30.0,1.008,0.117,-0.113
1.0,75.0,1.348,0.133,0.184
1.0,85.0,1.777,-0.855,-0.312
2.0,45.0,0.996,-0.031,-0.012
1.0,70.0,0.699,-1.285,0.691
3.0,40.0,0.969,0.039,-0.117
1.0,90.0,2.867,-0.949,0.793
1.0,75.0,0.66,0.719,-0.559
1.0,30.0,0.988,-0.027,-0.121
3.0,50.0,1.027,-0.059,-0.152
1.0,45.0,1.02,0.16,-0.113
1.0,95.0,-1.57,0.672,0.277
2.0,75.0,1.352,0.645,-0.25
1.0,80.0,-1.676,1.07,0.293
1.0,70.0,1.062,-0.023,-0.148
1.0,90.0,-1.234,-1.887,0.496
1.0,25.0,1.012,0.113,-0.133
1.0,80.0,4.879,2.406,-0.77
2.0,80.0,0.266,0.086,0.805
3.0,65.0,1.012,-0.059,-0.137
3.0,35.0,0.996,-0.09,-0.125
3.0,55.0,1.0,0.023,-0.16
1.0,50.0,0.984,0.043,-0.027
2.0,20.0,0.969,0.039,-0.145
2.0,45.0,1.004,0.156,-0.031
1.0,60.0,0.777,-1.027,0.051
2.0,85.0,-0.469,-0.531,-0.016
1.0,95.0,-0.859,-0.051,-2.023
2.0,60.0,1.098,-0.133,-0.34
3.0,65.0,1.031,-0.023,-0.094
3.0,55.0,1.039,0.113,-0.125
3.0,70.0,1.016,-0.074,-0.098
2.0,70.0,1.121,-0.352,0.32
1.0,95.0,6.008,0.855,1.617
3.0,80.0,1.016,-0.113,-0.203
3.0,100.0,0.898,0.047,0.352
2.0,85.0,1.82,-0.27,0.449
3.0,20.0,1.023,0.078,-0.117
1.0,50.0,1.02,-0.082,-0.27
2.0,25.0,0.977,-0.027,-0.137
2.0,20.0,0.996,-0.02,-0.129
3.0,55.0,1.02,-0.07,-0.133
1.0,95.0,1.875,1.922,0.875
1.0,55.0,1.008,-0.262,-0.027
2.0,25.0,0.992,-0.02,-0.133
1.0,95.0,-4.117,-1.27,-0.027
3.0,55.0,0.965,-0.02,-0.121
1.0,50.0,1.012,0.047,-0.195
1.0,100.0,4.0,0.18,-0.098
2.0,60.0,1.074,-0.129,-0.367
1.0,25.0,1.016,0.063,-0.133
2.0,60.0,0.953,0.309,-0.07
3.0,45.0,1.016,-0.059,-0.121
2.0,20.0,0.957,0.137,-0.129
1.0,75.0,1.812,-0.195,-0.488
2.0,70.0,0.984,0.926,0.379
2.0,50.0,1.031,0.129,0.023
1.0,50.0,0.91,0.129,-0.211
1.0,90.0,3.469,1.426,-0.859
3.0,60.0,1.043,-0.109,-0.145
3.0,60.0,0.918,-0.031,-0.117
1.0,25.0,0.965,-0.074,-0.121
2.0,35.0,0.969,-0.02,-0.105
1.0,55.0,0.953,0.18,0.055
3.0,80.0,0.922,0.012,-0.07
3.0,85.0,0.797,0.043,0.113
1.0,45.0,1.043,-0.32,0.031
1.0,30.0,0.988,0.063,-0.109
1.0,40.0,0.98,0.035,-0.133
2.0,80.0,0.766,-0.613,0.063
1.0,35.0,0.977,-0.172,-0.086
3.0,100.0,0.957,0.125,-0.227
2.0,45.0,1.012,-0.102,-0.008
3.0,55.0,0.953,-0.016,-0.117
1.0,70.0,0.602,0.18,-0.035
1.0,35.0,1.023,-0.055,-0.176
2.0,60.0,0.863,-0.199,-0.328
1.0,75.0,0.207,-0.25,-0.008
2.0,55.0,0.957,0.043,-0.289
3.0,50.0,1.031,-0.109,-0.137
1.0,65.0,1.297,-0.23,0.055
2.0,30.0,1.039,0.023,-0.121
3.0,100.0,1.055,-0.086,-0.414
1.0,95.0,0.063,-4.426,1.055
2.0,75.0,0.629,0.68,0.098
2.0,80.0,0.82,1.105,0.328
1.0,20.0,1.039,0.105,-0.109
3.0,90.0,0.977,0.063,-0.113
2.0,50.0,1.027,0.008,0.016
2.0,55.0,0.895,0.055,0.035
1.0,50.0,1.094,-0.02,-0.391
1.0,55.0,0.676,0.383,-0.387
3.0,55.0,1.008,-0.082,-0.125
1.0,25.0,0.992,-0.063,-0.133
2.0,85.0,0.91,0.07,-0.93
1.0,100.0,-2.316,0.855,-1.937
3.0,50.0,1.043,0.074,-0.105
2.0,40.0,0.969,0.082,-0.055
2.0,30.0,0.992,-0.031,-0.137
2.0,100.0,2.711,-1.285,0.469
2.0,35.0,0.945,0.109,-0.129
2.0,65.0,1.113,0.199,0.246
3.0,40.0,0.957,0.066,-0.109
3.0,35.0,0.996,-0.012,-0.113
1.0,70.0,1.016,0.609,-0.129
1.0,100.0,4.676,0.688,-0.855
3.0,60.0,0.957,-0.102,-0.117
2.0,95.0,-0.031,0.57,2.07
1.0,85.0,6.379,0.902,0.848
1.0,70.0,0.695,0.035,0.117
2.0,90.0,-0.266,-0.922,-0.867
1.0,70.0,0.449,0.004,0.352
3.0,65.0,1.0,0.102,-0.105
2.0,65.0,0.918,-0.266,-0.094
1.0,20.0,0.973,-0.082,-0.121
3.0,100.0,1.004,0.156,0.008
2.0,60.0,0.887,0.27,-0.504
3.0,25.0,0.984,0.008,-0.102
1.0,50.0,0.945,0.187,-0.281
2.0,85.0,1.578,0.332,0.043
3.0,70.0,0.977,-0.023,-0.141
2.0,75.0,0.605,0.277,0.289
2.0,65.0,1.113,0.297,-0.016
1.0,25.0,0.992,-0.09,-0.137
1.0,100.0,1.008,-2.086,-1.98
3.0,100.0,0.688,-0.031,0.117
3.0,50.0,1.02,0.016,-0.16
1.0,75.0,1.672,-0.016,-0.02
2.0,55.0,1.047,0.102,-0.016
3.0,85.0,0.77,0.078,0.105
3.0,70.0,1.02,-0.113,-0.152
1.0,80.0,1.855,0.25,0.203
1.0,30.0,1.023,-0.02,-0.125
3.0,65.0,0.988,0.09,-0.125
3.0,90.0,1.039,0.215,0.027
1.0,45.0,1.016,-0.094,-0.082
1.0,45.0,0.973,-0.051,-0.031
3.0,65.0,0.996,-0.125,-0.129
2.0,75.0,0.41,-0.355,-0.551
2.0,30.0,0.945,0.09,-0.129
3.0,20.0,0.977,-0.063,-0.156
2.0,85.0,-0.586,0.082,1.035
3.0,80.0,1.094,-0.023,-0.187
2.0,90.0,4.172,1.648,0.68
2.0,95.0,1.016,0.25,0.773
2.0,35.0,0.953,0.047,-0.137
2.0,20.0,0.98,-0.035,-0.117
1.0,85.0,2.156,-1.273,-0.055
3.0,90.0,1.215,-0.055,-0.254
1.0,30.0,0.98,0.102,-0.137
2.0,35.0,0.996,0.004,-0.133
2.0,80.0,1.289,1.027,0.105
2.0,95.0,0.434,-0.398,-0.703
1.0,50.0,0.953,-0.59,-0.082
2.0,80.0,0.918,0.445,-1.059
3.0,90.0,0.781,-0.047,-0.078
3.0,60.0,0.949,-0.031,-0.117
2.0,100.0,2.254,2.406,-3.09
2.0,20.0,1.027,0.09,-0.105
2.0,95.0,1.047,0.434,-0.184
2.0,20.0,0.973,0.039,-0.137
1.0,90.0,-0.77,0.785,1.363
3.0,55.0,0.992,-0.074,-0.148
2.0,50.0,1.078,-0.039,-0.219
1.0,40.0,0.953,-0.047,-0.184
2.0,50.0,0.949,0.051,0.094
1.0,95.0,0.375,-1.125,-1.82
3.0,95.0,0.852,-0.23,-0.207
3.0,60.0,0.969,-0.016,-0.113
2.0,85.0,0.949,-0.203,0.965
1.0,40.0,1.016,-0.016,-0.137
2.0,85.0,1.602,-1.578,-0.535
3.0,70.0,0.996,0.078,-0.129
2.0,70.0,0.844,0.211,-0.414
1.0,85.0,4.484,1.777,-1.492
3.0,90.0,1.066,0.02,-0.277
3.0,25.0,1.02,0.09,-0.113
3.0,40.0,1.039,-0.004,-0.125
1.0,25.0,0.969,-0.059,-0.164
3.0,85.0,0.895,0.02,-0.078
1.0,70.0,1.031,0.016,-0.633
2.0,60.0,0.859,-0.18,0.063
2.0,25.0,1.031,-0.043,-0.129
3.0,90.0,0.816,0.004,0.18
2.0,80.0,2.023,0.348,0.32
1.0,55.0,0.699,0.305,-0.281
1.0,100.0,2.07,0.348,3.605
3.0,100.0,1.035,0.121,-0.055
2.0,95.0,1.066,1.449,-0.488
3.0,90.0,0.723,-0.113,-0.18
2.0,35.0,1.035,0.027,-0.105
1.0,25.0,1.008,0.016,-0.125
3.0,50.0,0.992,0.055,-0.117
1.0,70.0,1.227,0.078,0.059
3.0,20.0,1.0,0.086,-0.141
1.0,35.0,1.02,0.031,-0.152
1.0,95.0,2.09,-0.48,-3.066
3.0,30.0,1.027,0.02,-0.133
3.0,30.0,1.0,-0.039,-0.133
3.0,30.0,0.961,0.055,-0.145
1.0,95.0,-2.387,-1.266,0.828
3.0,25.0,1.004,-0.059,-0.113
3.0,20.0,0.957,-0.094,-0.148
3.0,20.0,1.023,-0.063,-0.125
1.0,75.0,1.504,0.813,-0.418
1.0,30.0,0.988,-0.063,-0.137
3.0,55.0,1.004,0.027,-0.09
2.0,95.0,0.668,0.207,-0.457
1.0,35.0,1.008,-0.16,-0.109
3.0,70.0,1.027,-0.07,-0.152
2.0,45.0,1.004,0.031,-0.187
1.0,100.0,2.93,-0.195,1.305
3.0,35.0,1.059,0.102,-0.102
2.0,95.0,0.18,-0.133,1.133
3.0,40.0,0.973,0.035,-0.117
2.0,20.0,0.977,-0.031,-0.117
3.0,50.0,0.973,-0.047,-0.09
3.0,50.0,0.941,0.0,-0.129
1.0,40.0,0.969,0.074,-0.066
1.0,20.0,1.0,0.055,-0.133
3.0,95.0,1.258,-0.086,-0.027
2.0,100.0,0.992,-1.047,-1.285
2.0,75.0,0.961,-0.402,-0.25
2.0,35.0,1.004,-0.039,-0.133
